fpl_game_week,season,count,team,fpl_gw,date,team_goals,opponent_goals,scored,conceded
15,2018-2019,1,Bournemouth,15,2018-12-04,2.0,1.0,1.7034650157654907,0.9594560509050105
16,2017-2018,1,Bournemouth,16,2017-12-09,2.0,2.0,1.0672852600149774,1.2807760355018865
16,2018-2019,1,Bournemouth,16,2018-12-08,0.0,4.0,0.9884778156934547,2.3408458649813944
17,2017-2018,1,Bournemouth,17,2017-12-13,0.0,1.0,0.8639359530797511,2.467791674753259
17,2018-2019,1,Bournemouth,17,2018-12-15,0.0,2.0,0.9937979236242735,1.6075712488951042
18,2017-2018,1,Bournemouth,18,2017-12-17,0.0,4.0,0.9366106064149753,2.0267170929391827
18,2018-2019,1,Bournemouth,18,2018-12-22,2.0,0.0,1.3704102383869294,1.2186216517120685
19,2017-2018,1,Bournemouth,19,2017-12-23,0.0,4.0,0.34920444643218973,2.9146815453404
19,2018-2019,1,Bournemouth,19,2018-12-26,0.0,5.0,0.6337037725679443,2.390770245006521
20,2017-2018,1,Bournemouth,20,2017-12-26,3.0,3.0,1.3872467090228957,1.4341734803173039
20,2018-2019,1,Bournemouth,20,2018-12-30,1.0,4.0,0.8297695678088305,2.17930708892471
21,2017-2018,1,Bournemouth,21,2017-12-30,2.0,1.0,1.325876910898668,1.536517557865911
21,2018-2019,1,Bournemouth,21,2019-01-02,3.0,3.0,1.426681613519869,1.3612354857678146
22,2017-2018,1,Bournemouth,22,2018-01-01,2.0,2.0,1.1799140019643939,1.3363726766746677
22,2018-2019,1,Bournemouth,22,2019-01-13,0.0,2.0,1.11141975479027,1.654261119989642
23,2017-2018,1,Bournemouth,23,2018-01-14,2.0,1.0,1.3420055876851005,1.8231099503176078
23,2018-2019,1,Bournemouth,23,2019-01-19,2.0,0.0,1.5272964857186913,1.231332701192141
24,2017-2018,1,Bournemouth,24,2018-01-20,1.0,1.0,1.2611693387589593,1.5851955750465923
24,2018-2019,1,Bournemouth,24,2019-01-30,4.0,0.0,1.0440387205848443,1.6803840634135374
25,2017-2018,1,Bournemouth,25,2018-01-31,3.0,0.0,0.6056214687573231,2.3317434912377903
25,2018-2019,1,Bournemouth,25,2019-02-02,0.0,2.0,1.5266630994135146,0.9962574206590752
26,2017-2018,1,Bournemouth,26,2018-02-03,2.0,1.0,1.572831993948764,0.8994150062816579
26,2018-2019,1,Bournemouth,26,2019-02-09,0.0,3.0,0.6358626378534475,2.2466047302867747
27,2017-2018,1,Bournemouth,27,2018-02-11,1.0,4.0,1.3690353125859207,0.8516003528579866
27,2018-2019,1,Bournemouth,27,2019-02-23,1.0,1.0,1.480582634347999,1.2293749126367104
28,2017-2018,1,Bournemouth,28,2018-02-24,2.0,2.0,1.672097973066998,0.9836187782330997
28,2018-2019,1,Bournemouth,28,2019-02-27,1.0,5.0,0.9000055103954612,2.1245423315221523
29,2017-2018,1,Bournemouth,29,2018-03-03,1.0,1.0,0.904489796104002,1.7753507969236597
29,2018-2019,1,Bournemouth,29,2019-03-02,0.0,1.0,0.7715536975588422,2.456542819581444
30,2017-2018,1,Bournemouth,30,2018-03-11,1.0,4.0,0.8818394398234706,2.2124809860652412
30,2018-2019,1,Bournemouth,30,2019-03-09,2.0,0.0,1.3912159374320259,1.1618499850950272
31,2017-2018,1,Bournemouth,31,2018-03-17,2.0,1.0,1.6451216118872325,1.1269168772106712
31,2018-2019,1,Bournemouth,31,2019-03-16,2.0,2.0,1.5320658288259674,1.2809039551831924
32,2017-2018,1,Bournemouth,32,2018-03-31,2.0,2.0,1.2155298764273692,1.6897344581536315
32,2018-2019,1,Bournemouth,32,2019-03-30,0.0,2.0,1.0049226142191108,1.56525981482176
33,2017-2018,1,Bournemouth,33,2018-04-07,2.0,2.0,1.6517710478690426,1.3470945916482733
33,2018-2019,1,Bournemouth,33,2019-04-06,1.0,3.0,1.504710377790527,1.0237707569850154
34,2017-2018,2,Bournemouth,34,2018-04-14,0.0,5.0,1.5700263236358016,4.138408418937111
34,2018-2019,1,Bournemouth,34,2019-04-13,5.0,0.0,1.1225591856267187,1.1472974755183591
35,2018-2019,1,Bournemouth,35,2019-04-20,0.0,1.0,1.8772572052834642,0.5890431450601229
36,2017-2018,1,Bournemouth,36,2018-04-28,1.0,2.0,1.0498933211388213,1.315908546699542
36,2018-2019,1,Bournemouth,36,2019-04-27,3.0,3.0,1.144894470999901,1.5530589674947084
37,2017-2018,1,Bournemouth,37,2018-05-05,1.0,0.0,1.672832989316284,0.9090460057742733
37,2018-2019,1,Bournemouth,37,2019-05-04,1.0,0.0,1.1344230891080875,1.870147446417565
38,2017-2018,1,Bournemouth,38,2018-05-13,2.0,1.0,1.0525767880850956,1.510550850123123
38,2018-2019,1,Bournemouth,38,2019-05-12,3.0,5.0,1.3591442088979275,1.572029150322965
1,2018-2019,1,Brighton,1,2018-08-11,0.0,2.0,0.8370813670125303,1.5697000676164636
2,2018-2019,1,Brighton,2,2018-08-19,3.0,2.0,0.8303208009383696,1.9097822482992914
3,2018-2019,1,Brighton,3,2018-08-25,0.0,1.0,0.3437486193651893,2.6662557741577184
4,2018-2019,1,Brighton,4,2018-09-01,2.0,2.0,1.2734881913115677,1.2208954705278283
5,2018-2019,1,Brighton,5,2018-09-17,2.0,2.0,1.0927541264734852,1.7353823739624428
6,2017-2018,1,Brighton,6,2017-09-24,1.0,0.0,1.1278085098853952,1.2637190609422224
6,2018-2019,1,Brighton,6,2018-09-22,1.0,2.0,1.1953551594239067,2.0253703780959333
7,2017-2018,1,Brighton,7,2017-10-01,0.0,2.0,0.5884662228332281,2.201323435953599
7,2018-2019,1,Brighton,7,2018-09-29,0.0,2.0,0.4218738667823222,2.9784905545975913
8,2017-2018,1,Brighton,8,2017-10-15,1.0,1.0,1.1649070977447191,1.395833935875191
8,2018-2019,1,Brighton,8,2018-10-05,1.0,0.0,1.3875895173625545,1.4833436360203014
9,2017-2018,1,Brighton,9,2017-10-20,3.0,0.0,0.6789424479377059,1.6380905227249811
9,2018-2019,1,Brighton,9,2018-10-20,1.0,0.0,1.1774401353296309,1.5831657188494812
10,2017-2018,1,Brighton,10,2017-10-29,1.0,1.0,1.3815915106639207,1.389039906162231
10,2018-2019,1,Brighton,10,2018-10-27,1.0,0.0,1.2740736430530644,1.3573644888421927
11,2017-2018,1,Brighton,11,2017-11-04,1.0,0.0,1.03837948600161,1.4809001276728275
11,2018-2019,1,Brighton,11,2018-11-03,1.0,3.0,0.9117448548249302,1.9299886592287578
12,2017-2018,1,Brighton,12,2017-11-20,2.0,2.0,1.5638178104448248,1.2181051280868642
12,2018-2019,1,Brighton,12,2018-11-10,1.0,2.0,1.2084026838967659,1.4629198559492165
13,2017-2018,1,Brighton,13,2017-11-25,0.0,1.0,0.6832817810530264,2.037913228494503
13,2018-2019,1,Brighton,13,2018-11-24,1.0,1.0,1.3005260067612674,1.481155501634418
14,2017-2018,1,Brighton,14,2017-11-28,0.0,0.0,1.2698524460981326,0.9679663173500846
14,2018-2019,1,Brighton,14,2018-12-01,2.0,1.0,1.0172809365438469,1.323515399870413
15,2017-2018,1,Brighton,15,2017-12-02,1.0,5.0,0.7715546336981549,1.8155124691408742
15,2018-2019,1,Brighton,15,2018-12-04,3.0,1.0,1.274568641793611,1.2425230501899056
16,2017-2018,1,Brighton,16,2017-12-09,0.0,2.0,1.2771087831458274,0.9926073422155923
16,2018-2019,1,Brighton,16,2018-12-08,0.0,1.0,1.3452797833829842,1.4210629853234045
17,2017-2018,1,Brighton,17,2017-12-13,0.0,2.0,0.3523211202101175,2.417981726434759
17,2018-2019,1,Brighton,17,2018-12-16,1.0,2.0,1.0252672429486087,1.7483648503954203
18,2017-2018,1,Brighton,18,2017-12-16,0.0,0.0,1.1757655009715013,1.240914738917264
18,2018-2019,1,Brighton,18,2018-12-22,0.0,2.0,1.2186216517120685,1.3704102383869294
19,2017-2018,1,Brighton,19,2017-12-23,1.0,0.0,1.3550947630339878,1.1234618389316173
19,2018-2019,1,Brighton,19,2018-12-26,1.0,1.0,0.9650251804566233,1.7543282880244786
20,2017-2018,1,Brighton,20,2017-12-26,0.0,2.0,0.28379578555212825,2.504801575402155
20,2018-2019,1,Brighton,20,2018-12-29,1.0,0.0,1.4567128998033079,1.3125308283935986
21,2017-2018,1,Brighton,21,2017-12-30,0.0,0.0,1.0148032903876842,1.4775203555961745
21,2018-2019,1,Brighton,21,2019-01-02,2.0,2.0,1.0865788990649987,1.4517953944509117
22,2017-2018,1,Brighton,22,2018-01-01,2.0,2.0,1.3363726766746677,1.1799140019643939
22,2018-2019,1,Brighton,22,2019-01-12,0.0,1.0,0.7536143422112388,2.0833123028103184
